cfg,a_sharpe,a_calmar,a_cagr,a_dd,a_in,b_sharpe,b_calmar,b_cagr,b_dd,b_in
up=120 down= 80 vWin=15 vEntry=120 vExit=100,0.16538774101427958,0.018418829216543482,1.0383739715518425,-56.37567726721699,31.692307692307693,0.47412296773829754,0.25713479055430816,10.392302023204735,-40.415775713593405,26.528692380056444
up=120 down= 80 vWin=15 vEntry=120 vExit=120,0.17219648677594168,0.02051480754553318,1.1565361693860465,-56.37567726721699,32.08791208791209,0.4979131776010703,0.2923660759320217,11.3884476604462,-38.952698681409736,28.080903104421452
up=120 down= 80 vWin=15 vEntry=120 vExit=150,0.2950053837200458,0.07742370808315462,4.364813979727145,-56.37567726721699,34.5934065934066,0.7235726754967066,0.6286477348510021,23.86084437927851,-37.9558265408112,45.10818438381938
up=120 down= 80 vWin=20 vEntry=off vExit= 60,0.23505192693157131,0.0500452719981765,2.7647456223369504,-55.24489151418119,29.53846153846154,0.3161005556650056,0.13076643275306513,3.6504280559644053,-27.915635374544088,7.9962370649106305
up=120 down= 80 vWin=20 vEntry=off vExit= 70,0.11661893100840846,-0.0016993496668084693,-0.1004275327395443,-59.097626992893225,31.472527472527474,0.34347603371359375,0.13633515331599164,4.99442342897034,-36.633423643823434,12.51175917215428
up=120 down= 80 vWin=20 vEntry=off vExit= 80,0.16538774101427958,0.018418829216543482,1.0383739715518425,-56.37567726721699,31.692307692307693,0.5511727334288191,0.35208820753845355,12.898196466750589,-36.63342364382341,25.870178739416744
up=120 down= 80 vWin=20 vEntry=off vExit=100,0.17428268071233213,0.021724760706430216,1.2247480982932268,-56.37567726721699,31.912087912087912,0.49028713859387685,0.2738856946799547,11.06930280734677,-40.41577571359339,27.986829727187207
up=120 down= 80 vWin=20 vEntry=off vExit=120,0.2950053837200458,0.07742370808315462,4.364813979727145,-56.37567726721699,34.5934065934066,0.7519464859632836,0.6665312475248126,25.298744415082286,-37.9558265408112,45.01411100658514
up=120 down= 80 vWin=20 vEntry=off vExit=150,0.2950053837200458,0.07742370808315462,4.364813979727145,-56.37567726721699,34.5934065934066,0.7235726754967066,0.6286477348510021,23.86084437927851,-37.9558265408112,45.10818438381938
up=120 down= 80 vWin=20 vEntry= 90 vExit=off,0.2950053837200458,0.07742370808315462,4.364813979727145,-56.37567726721699,34.5934065934066,0.7235726754967066,0.6286477348510021,23.86084437927851,-37.9558265408112,45.10818438381938
up=120 down= 80 vWin=20 vEntry= 90 vExit= 60,0.23505192693157131,0.0500452719981765,2.7647456223369504,-55.24489151418119,29.53846153846154,0.3161005556650056,0.13076643275306513,3.6504280559644053,-27.915635374544088,7.9962370649106305
up=120 down= 80 vWin=20 vEntry= 90 vExit= 70,0.11661893100840846,-0.0016993496668084693,-0.1004275327395443,-59.097626992893225,31.472527472527474,0.34347603371359375,0.13633515331599164,4.99442342897034,-36.633423643823434,12.51175917215428
up=120 down= 80 vWin=20 vEntry= 90 vExit= 80,0.16538774101427958,0.018418829216543482,1.0383739715518425,-56.37567726721699,31.692307692307693,0.5511727334288191,0.35208820753845355,12.898196466750589,-36.63342364382341,25.870178739416744
up=120 down= 80 vWin=20 vEntry= 90 vExit=100,0.17428268071233213,0.021724760706430216,1.2247480982932268,-56.37567726721699,31.912087912087912,0.49028713859387685,0.2738856946799547,11.06930280734677,-40.41577571359339,27.986829727187207
up=120 down= 80 vWin=20 vEntry= 90 vExit=120,0.2950053837200458,0.07742370808315462,4.364813979727145,-56.37567726721699,34.5934065934066,0.7519464859632836,0.6665312475248126,25.298744415082286,-37.9558265408112,45.01411100658514
up=120 down= 80 vWin=20 vEntry= 90 vExit=150,0.2950053837200458,0.07742370808315462,4.364813979727145,-56.37567726721699,34.5934065934066,0.7235726754967066,0.6286477348510021,23.86084437927851,-37.9558265408112,45.10818438381938
up=120 down= 80 vWin=20 vEntry=120 vExit=off,0.2950053837200458,0.07742370808315462,4.364813979727145,-56.37567726721699,34.5934065934066,0.7235726754967066,0.6286477348510021,23.86084437927851,-37.9558265408112,45.10818438381938
