date,price,slope_up,slope_down,slope_up_prev,slope_down_prev,slope,vol,in_market,asset_ret,strat_ret,strat_equity,bh_equity
2023-01-12,23.2476,-0.0837184210526316,-0.16811690431519702,-0.19015127819548874,-0.17477757973733582,-0.0837184210526316,81.64646355027543,False,0.02246128539950476,0.0,8208496.047923562,9038724.727838377
2023-01-13,23.4332,0.020220075187969887,-0.1569982833020638,-0.0837184210526316,-0.16811690431519702,0.020220075187969887,81.52124798148333,False,0.00798361981451845,0.0,8208496.047923562,9110886.469673526
2023-01-17,23.7396,0.08659037593984958,-0.1483679268292683,0.020220075187969887,-0.1569982833020638,0.08659037593984958,69.83682011817103,True,0.0130754655787515,0.0130754655787515,8315825.955451504,9230015.552099654
2023-01-18,22.839,0.12419210526315785,-0.1424108067542214,0.08659037593984958,-0.1483679268292683,0.12419210526315785,69.5893277589539,True,-0.037936612242834844,-0.037936612242834844,8000351.690700639,8879860.031104315
2023-01-19,22.0499,0.13528398496240596,-0.13846148217636023,0.12419210526315785,-0.1424108067542214,0.13528398496240596,69.1097066785655,True,-0.03455054949866443,-0.03455054949866443,7723935.143604362,8573055.987558434
2023-01-20,23.7767,0.17098857142857143,-0.13081691369606002,0.13528398496240596,-0.13846148217636023,0.17098857142857143,73.88276695590092,True,0.0783132803323372,0.0783132803323372,8328821.841774241,9244440.12441692
2023-01-23,25.3922,0.24293045112781952,-0.11170760787992497,0.17098857142857143,-0.13081691369606002,0.24293045112781952,75.42323316464451,True,0.06794466852002157,0.06794466852002157,8894720.880975908,9872550.544323614
2023-01-24,25.3551,0.28328624060150376,-0.09003355534709194,0.24293045112781952,-0.11170760787992497,0.28328624060150376,68.66054486125935,True,-0.0014610785989397357,-0.0014610785989397357,8881724.99465317,9858125.97200635
2023-01-25,25.1508,0.31431466165413535,-0.0706553095684803,0.28328624060150376,-0.09003355534709194,0.31431466165413535,68.90890910259928,True,-0.008057550551960002,-0.008057550551960002,8810160.046520147,9778693.623639321
2023-01-26,26.3577,0.3464255639097745,-0.053233517823639775,0.31431466165413535,-0.0706553095684803,0.3464255639097745,68.4847409365122,True,0.04798654515959733,0.04798654515959733,9232929.189455766,10247939.346811956
2023-01-27,26.6641,0.3580197744360903,-0.037760497185741086,0.3464255639097745,-0.053233517823639775,0.3580197744360903,64.26095337221581,True,0.011624686524241534,0.011624686524241534,9340259.096983708,10367068.429238085
2023-01-30,25.1694,0.35998127819548875,-0.01469560975609757,0.3580197744360903,-0.037760497185741086,0.35998127819548875,65.71530837310692,True,-0.056056645452124854,-0.056056645452124854,8816675.504353108,9785925.34992237
2023-01-31,26.2092,0.3684767669172932,0.012994268292682921,0.35998127819548875,-0.01469560975609757,0.3684767669172932,66.33614396895366,True,0.04131206941762611,0.04131206941762611,9180910.614821628,10190202.17729407
2023-02-01,28.0382,0.38545421052631584,0.04574146341463415,0.3684767669172932,0.012994268292682921,0.38545421052631584,67.26228417890732,True,0.0697846557697297,0.0697846557697297,9821597.301729612,10901321.928460488
2023-02-02,30.3221,0.42537624060150375,0.08142746716697935,0.38545421052631584,0.04574146341463415,0.42537624060150375,70.55605067256457,True,0.08145672689402317,0.08145672689402317,10621632.470799677,11789307.93157092
2023-02-03,29.5608,0.42028706766917295,0.10708903377110691,0.42537624060150375,0.08142746716697935,0.42028706766917295,66.10039343639848,True,-0.025107100101905866,-0.025107100101905866,10354954.081109654,11493312.597200774
2023-02-06,28.4931,0.4095862406015037,0.1263913320825516,0.42028706766917295,0.10708903377110691,0.4095862406015037,65.26636742986211,True,-0.036118778923439177,-0.036118778923439177,9980945.78389169,11078188.180404501
