date,portfolio,ew_bh,tecl_only
2011-06-21,155606.07667073037,153553.85468832837,128884.41994733059
2011-06-22,153925.9341541282,150465.77069092568,126206.9211209286
2011-06-23,155603.33182684807,152809.37457273804,129991.86710589481
2011-06-24,151482.20257132433,145715.0803542944,122856.54300831037
2011-06-27,154662.96117855015,151208.19389274932,128057.3391580232
2011-06-28,157937.02874803325,157438.60884213843,132963.75062001645
2011-06-29,159009.075234477,159966.07086919338,133987.0878678036
2011-06-30,162367.9120899381,165762.16562133422,139846.74498526982
2011-07-01,169832.23721791146,173380.47036588204,146729.73935052316
2011-07-05,171072.94308948144,174648.146242921,148103.53455988126
2011-07-06,172740.55921187994,176347.7920705729,150206.2823293069
2011-07-07,179148.93433994782,182889.99916895444,156037.90280984744
2011-07-08,176540.49451381387,180228.9089565401,153865.06344810757
2011-07-11,167040.7423243688,170529.34732487012,145874.62192429003
2011-07-12,163182.28339449177,166595.71006365618,141276.61346847925
2011-07-13,164905.93172319845,168357.58079132595,142496.20717474615
2011-07-14,160291.50141025562,163645.05950203625,138374.82154667185
2011-07-15,165571.51173877434,169031.45976731065,144276.53361952654
2011-07-18,162512.7620465915,165903.8265336597,142804.61018092858
2011-07-19,173388.64772633888,176998.17519101966,154411.77786815827
2011-07-20,171550.7472208973,175124.36062082605,152014.645411013
2011-07-21,175784.12138268474,179452.85586960395,153963.19167734747
2011-07-22,180059.7570649018,183808.91121355147,160089.19684560757
2011-07-25,178239.5993878438,181949.5612320397,159065.85959782044
2011-07-26,178558.4666525398,182269.01467520243,160930.29595337785
2011-07-27,164846.60602897478,168283.86696767935,146183.0249304725
2011-07-28,164852.7022741395,168287.57503504603,147108.2339490198
2011-07-29,162132.00814116182,165516.84052029697,143771.8741548644
2011-08-01,160342.62026667513,163685.22283008165,143028.903276334
2011-08-02,148392.72244059647,151482.04428970386,133160.0070784962
2011-08-03,152069.66178527207,155231.34645775202,137421.57589119888
2011-08-04,130732.37436767729,133450.12297424683,118496.84596636787
2011-08-05,130120.89690810465,130675.13319309671,117771.45104662137
2011-08-08,122243.40017967307,107210.51572556843,111139.4368775939
2011-08-09,127971.59411220344,121737.08293712285,116221.90403815155
2011-08-10,122673.75956060446,106822.83263092148,111672.02018171894
2011-08-11,127874.49938175359,120840.63470613663,115931.51093413634
2011-08-12,128847.83106679181,123863.57954981999,116759.19006460886
2011-08-15,131142.0371238819,130447.7579134077,118836.6176548715
2011-08-16,130077.08424771803,126599.62885985797,117965.43834282587
2011-08-17,129643.00525640955,124839.55408300426,117432.85503870083
2011-08-18,123549.42447466857,106761.35805164871,111720.2230856243
2011-08-19,121140.61146945367,100108.42730977599,109010.27934167672
2011-08-22,121532.82409228783,100842.51410794302,109591.06554970714
2011-08-23,126034.08298220107,112390.9585281803,113608.3661020147
2011-08-24,127323.49530401116,115649.8783964244,114625.32980635947
2011-08-25,125370.49147946041,110125.9765157353,112979.37699007893
2011-08-26,127866.2035430222,117143.13242677861,115206.11601438987
2011-08-29,131355.56448609917,127326.61072572335,118110.04705454198
2011-08-30,131947.23565886865,128789.90653133682,118594.4274547617
2011-08-31,132110.14970837435,129983.2023638709,118304.03435074649
2011-09-01,130767.3034285492,125895.75008294158,116996.67754238649
2011-09-02,125476.68182141465,116522.80264807993,114334.93670234425
2011-09-06,124991.52098775547,115167.04365218923,113802.3533982192
2011-09-07,128301.18960959847,124328.96269198033,116754.48734227665
2011-09-08,127451.07521477525,122123.6394293927,116173.70113424624
2011-09-09,124490.86693703957,113659.08817320786,113704.77190982545
2011-09-12,125789.63858260756,117216.64739655911,115060.33162209074
2011-09-13,127233.46027556765,121418.5112952688,116415.89133435609
2011-09-14,130530.8469749933,126930.51905414964,122270.85278486997
2011-09-15,132617.99818708087,133085.59853469097,124224.71429581006
2011-09-16,133780.5663708885,136018.35869899736,125601.90684274914
2011-09-19,133260.3119476053,134931.28722709516,125300.18974766001
2011-09-20,132900.22362161713,133216.18245183877,124998.4726525709
2011-09-21,130187.73160135509,125362.61817656021,123138.28943325121
2011-09-22,126028.282418991,113280.56886307776,119316.94509585218
2011-09-23,127216.32283608781,116396.63764419625,120674.67202375329
2011-09-26,129221.98901006047,121706.33778102351,122183.25749919891
2011-09-27,130701.22803508081,125860.84531500141,123741.72362342945
2011-09-28,128559.8561668108,119266.80242047898,121982.51830286946
2011-09-29,128263.4244640921,118203.89367383742,121730.68185656522
2011-09-30,125013.92303420273,108956.38760700275,118663.63025688902
2011-10-03,121827.45798254857,100227.28471303792,115999.27365106162
2011-10-04,124376.10638646476,106741.20688311613,118361.91316179986
2011-10-05,127079.11731676193,114199.31900107156,120825.53057129782
2011-10-06,129188.48704355396,120339.83952795494,122635.83314183257
2011-10-07,128458.83749029945,117809.44648803525,122183.25749919887
2011-10-10,132692.56089833518,129888.28966471161,125954.72118781302
2011-10-11,133240.3839318186,131767.4895651985,126507.05812801652
2011-10-12,134037.03286481198,134304.4284470627,127060.61166940987
2011-10-13,134876.48469344256,136929.1300336442,128468.21924609586
2011-10-14,139340.81365806382,144678.37123776495,136516.14532172287
2011-10-17,131965.42117996258,137079.22782858848,129335.57523657862
2011-10-18,137384.90833833042,142647.034031165,132861.8750011643
2011-10-19,130017.44313192455,134949.86884962366,124586.44571491884
2011-10-20,128886.50466306164,134208.45560118795,122482.04101669835
2011-10-21,132745.00034268686,139724.48264072678,126719.28831446664
2011-10-24,138957.21959361964,147797.44479867283,134795.652291421
2011-10-25,133205.12192294514,139809.35634315648,128624.62770339602
2011-10-26,133973.81206130562,141345.89315930716,130074.96067108853
2011-10-27,143212.00728062697,154158.05078730933,141649.18651130126
2011-10-28,143448.47369070267,154719.4396556662,142132.31169359307
2011-10-31,140667.7352717899,145682.1285487839,139608.89172264416
2011-11-01,136843.4080103676,134115.24957561714,135745.1889879179
2011-11-02,138515.39190328465,138394.62506609425,137408.85393016474
2011-11-03,141432.42483282383,147285.28973943333,140682.93614671766
2011-11-04,140614.77320046365,145193.23385345362,139824.47984162386
2011-11-07,141526.40960448608,147929.49295303077,140682.93614671766
2011-11-08,143209.45611532882,153106.26670973294,142293.35342102373
2011-11-09,138121.2986982334,136522.60933538512,137355.60626222397
2011-11-10,138647.5473789695,137382.7345057084,137784.1850529667
2011-11-11,141271.2978021627,145407.1625611429,140414.1003597972
2011-11-14,140179.7267587753,142784.6538946531,139341.35465933202
2011-11-15,141591.40844188127,146970.2124360668,141219.30899695022
2011-11-16,139365.55509819125,140219.07779997727,139125.76654035234
2011-11-17,136625.83911664886,131456.2644938398,136442.6035655811
2011-11-18,135825.87055478798,129042.81006194334,135315.31147356686
2011-11-21,133313.96030157557,121587.39320730716,132954.23195365682
2011-11-22,133223.32059998973,121309.77654880722,132738.64383467718
2011-11-23,130176.6857519063,112816.38933725611,129572.35567761413
2011-11-25,129514.04572471339,110945.32690511234,128873.64237634263
2011-11-28,133701.04173309804,121852.8415214089,133115.27368108748
2011-11-29,133288.24474521942,120555.94035406585,132416.56037981596
2011-11-30,138460.91085994017,134684.47431796562,137516.64798965456
2011-12-01,139043.3202371369,136416.42201432312,138267.31023525854
2011-12-02,138835.3642086142,135815.96929559344,138159.5161757687
2011-12-05,140368.94585782045,140408.3880651092,139716.68578213398
2011-12-06,140231.96482894948,139960.20005254066,139663.43811419324
2011-12-07,140450.86173406217,140408.53200441253,139824.47984162386
2011-12-08,137919.6864123228,132890.00371363998,137623.14332553613
2011-12-09,141569.1515838282,139131.59946022352,139769.9334500748
2011-12-12,139756.930886574,133616.36691579327,137998.47444833812
2011-12-13,136164.73651526854,129246.72744873504,133509.17699778508
2011-12-14,131085.27047636933,123453.89334072595,126427.46834339153
2011-12-15,130547.50215706689,123303.2624860187,125415.79567847819
2011-12-16,131449.46837109848,124333.78251386012,126269.39448949884
2011-12-19,128173.20407575318,120351.19042807765,121764.28965355652
2011-12-20,137118.00404663524,131139.36067787182,132766.22988448935
2011-12-21,132500.9897306149,127001.71324225505,124878.34457524298
2011-12-22,135502.42377778952,130689.97506521376,129225.37555729256
2011-12-23,138335.43011360726,134020.5360615435,132782.0372698786
2011-12-27,139080.0286564245,134787.35773274346,133793.70993479196
2011-12-28,135400.37819940227,130204.58524495171,129304.4124842389
2011-12-29,137796.73302889406,133244.8194610319,132292.00832281116
2011-12-30,136712.5285154436,131964.16139258008,130995.80272089093
2012-01-03,141805.7945660748,138564.5887328476,137287.14210582088
2012-01-04,142709.44252250198,139795.83401211916,139073.37665480856
2012-01-05,144532.73223629646,142359.70823123373,141634.1730878705
2012-01-06,144545.4564603367,142701.1738478915,142140.00942032717
2012-01-09,144582.27529145096,142477.53098616027,141950.32079565592
2012-01-10,146916.06927503692,145412.72580852383,143673.32580308648
2012-01-11,147626.4307511245,146332.69914836212,144843.07232189254
2012-01-12,148601.6082149744,147693.73318222162,146297.35177770548
2012-01-13,146733.3366573927,145456.6973027307,143214.9116267976
2012-01-17,148308.83284023352,147897.87711764534,145475.36773746338
2012-01-18,153382.4154602783,154239.5057310745,153315.83089054193
2012-01-19,155780.43553322967,157329.76404457178,156904.1073739065
2012-01-20,156354.97161775242,157731.41100225475,158658.7271521156
2012-01-23,157082.63039725376,158413.3476083082,160444.9617011032
2012-01-24,157164.86624829512,158285.54505755767,161077.25711667407
2012-01-25,160798.89349983176,163270.7143433481,165740.4358065091
2012-01-26,158791.98541735546,160898.30252239428,163053.180290333
2012-01-27,159313.78560751444,161792.25173033416,164049.0455698571
2012-01-30,159364.8775182053,161892.10734228068,165566.55456722714
2012-01-31,159487.72661559947,162141.1018324002,166183.0425974087
2012-02-01,163221.1181335161,166762.05781866214,171352.0576197004
2012-02-02,164008.28818845464,167958.86226057142,172205.65643072102
2012-02-03,169454.06487745402,174874.12761063984,179318.97985589312
2012-02-06,169398.5006463424,174795.76315264477,179540.28325134292
2012-02-07,170656.40733220027,176178.03366957206,181626.85812272676
2012-02-08,172727.60811389194,178942.562031695,185720.97093854804
2012-02-09,175173.02836271608,182311.62724848668,190937.40811700758
2012-02-10,171856.25930518765,178091.94018895528,186005.50387555495
2012-02-13,174852.42123759567,182195.01433288943,189973.15760826203
2012-02-14,175326.83131102304,183071.83874930083,191332.5927517393
2012-02-15,172899.43364707593,179647.6511995732,187696.89411220697
2012-02-16,178840.6978369606,187328.13992758672,197260.36227271607
2012-02-17,178547.90595376078,186661.3773733609,195964.15667079584
2012-02-21,179533.2040969739,188021.06933204993,198240.4201668509
2012-02-22,177528.43939232858,185444.1230137888,194889.2544643254
2012-02-23,179719.2075412586,188446.45111013428,197623.93213666932
2012-02-24,181203.751701421,190352.08115225108,200453.45412134888
2012-02-27,181826.89806911812,191198.23357442272,201291.24554698027
2012-02-28,184546.97473488204,195294.0159680235,206238.95717382216
2012-02-29,182263.17112508157,192405.5249453828,203330.39826219625
2012-03-01,185139.85586904525,196418.87779881572,206934.48213095008
2012-03-02,184230.05845017763,195363.56817804827,206033.46116376162
2012-03-05,180450.75054318985,190106.77965727478,198983.36728014663
2012-03-06,174838.79695899435,183233.71239938526,192265.22848970635
2012-03-07,178177.84578785193,187559.85343291445,197086.48103343407
2012-03-08,182676.70449310448,193464.70283122617,203409.4351891426
2012-03-09,184589.242175384,195941.82857927599,206065.0759345402
2012-03-12,184824.2793023776,196250.60718130524,207108.3633702321
