up,down,vwin,ventry,vexit,cagr,maxdd,sharpe,calmar,final,time_in_mkt,trades
20,5,40,90.0,70.0,0.06734518539535106,-37.43914176680608,0.06937115477810374,0.001798790843412441,101173.38580833224,9.60788809905985,86
20,5,40,90.0,80.0,5.451575805344033,-33.93502785461537,0.42764994090489494,0.16064745338355707,250876.73187966176,11.946801192387067,85
20,5,40,90.0,100.0,4.378762531299363,-33.02285376606506,0.3489125215553354,0.13259794451196297,210139.92699637378,13.001605136436597,85
20,5,40,90.0,120.0,4.378762531299363,-33.02285376606506,0.3489125215553354,0.13259794451196297,210139.92699637378,13.001605136436597,85
20,5,40,90.0,150.0,4.378762531299363,-33.02285376606506,0.3489125215553354,0.13259794451196297,210139.92699637378,13.001605136436597,85
20,5,40,120.0,,2.530228893106412,-43.909790689737626,0.23205042406530668,0.05762334216040261,154184.47437846393,13.964686998394862,96
20,5,40,120.0,60.0,0.05285317743646267,-31.44531765759838,0.06576621534936686,0.0016807964229196247,100919.7947466185,9.1034166475579,97
20,5,40,120.0,70.0,-0.17724751377066195,-33.08044272595795,0.05254554701421798,-0.005358075623080379,96972.72348281367,9.860123824810824,97
20,5,40,120.0,80.0,5.193822534186987,-33.93502785461535,0.40585410235683156,0.153051960247046,240460.47045343518,12.199036918138042,96
20,5,40,120.0,100.0,2.5539716470309504,-41.6295203647523,0.23511864921903802,0.0613500137559451,154804.32338907724,13.529007108461363,96
20,5,40,120.0,120.0,2.530228893106412,-43.909790689737626,0.23205042406530668,0.05762334216040261,154184.47437846393,13.964686998394862,96
20,5,40,120.0,150.0,2.530228893106412,-43.909790689737626,0.23205042406530668,0.05762334216040261,154184.47437846393,13.964686998394862,96
20,10,10,,,12.951279192360165,-51.12529655852806,0.5620001254421391,0.25332428492680886,833919.7141224565,31.202921707372745,100
20,10,10,,60.0,5.328228228511556,-35.908350380685995,0.3966868125324244,0.14838409929790167,246960.72585761195,17.64437343072358,101
20,10,10,,70.0,6.268780592621592,-42.49335818780793,0.4085945005037374,0.1475237745370808,288315.2384999578,21.66172106824926,101
20,10,10,,80.0,14.226930386040348,-36.45284899691191,0.6908725807976859,0.3902830856168629,1014064.5955674035,25.74754622232367,100
20,10,10,,100.0,10.97729982261857,-44.0720046240415,0.5321303540457527,0.24907648100559504,613442.6924124218,28.692079433919197,100
20,10,10,,120.0,11.27448080184006,-51.12529655852804,0.5301164475902136,0.22052646264717657,642688.7812309153,30.084455603743436,100
20,10,10,,150.0,12.720397374515713,-51.12529655852804,0.5599928279180343,0.24880828534565957,804726.1478452139,30.997489157726548,100
20,10,10,90.0,,9.748371487958817,-46.55894832420796,0.49699310061511287,0.2093769691720083,505302.66057119484,27.55078749144031,90
20,10,10,90.0,60.0,5.020605746649709,-34.4109768454623,0.3810359679254316,0.14590128519736473,234696.0182816007,17.4161150422278,91
20,10,10,90.0,70.0,5.958411125858976,-43.243748663022366,0.39499314916223993,0.13778664685825445,273996.75900233624,21.433462679753482,91
20,10,10,90.0,80.0,14.209837779886225,-37.28206063815958,0.6962394575782376,0.3811441088999766,1011425.1831207826,25.336681123031273,90
20,10,10,90.0,100.0,10.955716325574794,-44.80179571782536,0.5441641771919401,0.2445374376191762,611368.2388969882,27.368180780643687,90
20,10,10,90.0,120.0,9.748371487958817,-46.55894832420796,0.49699310061511287,0.2093769691720083,505302.66057119484,27.55078749144031,90
20,10,10,90.0,150.0,9.748371487958817,-46.55894832420796,0.49699310061511287,0.2093769691720083,505302.66057119484,27.55078749144031,90
20,10,10,120.0,,10.35924472836085,-51.12529655852806,0.49821611922797293,0.2026246384018843,556588.1082612952,30.13010728144259,98
20,10,10,120.0,60.0,5.217931294760736,-35.9083503806859,0.3904332326577075,0.1453124757735269,242495.40114121526,17.598721753024424,99
20,10,10,120.0,70.0,6.157498737320899,-42.49335818780793,0.4032950715034793,0.14490496868020167,283102.1781798733,21.616069390550102,99
20,10,10,120.0,80.0,14.107314966838436,-36.45284899691193,0.6864062566714453,0.387001711938442,995729.1793311384,25.701894544624516,98
20,10,10,120.0,100.0,10.861087330561613,-44.072004624041526,0.5281088026014864,0.24643960317241456,602350.9659566899,28.64642775622004,98
20,10,10,120.0,120.0,11.15795710972467,-51.12529655852806,0.5262719985926682,0.21824728384609132,631068.2529472553,30.038803926044285,98
20,10,10,120.0,150.0,10.35924472836085,-51.12529655852806,0.49821611922797293,0.2026246384018843,556588.1082612952,30.13010728144259,98
20,10,15,,60.0,3.436670853117274,-40.27651223760578,0.2886922130197291,0.08532692286867105,180120.81063958473,17.187856653732027,101
20,10,15,,70.0,9.157943439388937,-33.4114597599649,0.5345278596297194,0.27409587923369916,459993.4772423544,22.209541200639123,101
20,10,15,,80.0,9.295660928468052,-38.98275738836959,0.514095008643633,0.23845570583576495,470205.7792163775,25.268203606482537,100
20,10,15,,100.0,13.871102000365344,-38.98275738836953,0.6489326672311249,0.3558265994930306,960434.9674429205,27.96165259073271,100
20,10,15,,120.0,10.736177829857962,-51.12529655852806,0.5170024291835603,0.2099973702366151,590640.0860070605,29.673590504451035,100
20,10,15,,150.0,11.343517093120692,-51.12529655852804,0.5201519121609852,0.22187679792008008,649668.3838552048,30.609449897283724,100
20,10,15,90.0,,9.117003463320339,-40.25637615726947,0.501837778461251,0.22647352627327824,456998.1608717561,25.701894544624516,83
20,10,15,90.0,60.0,2.6536582377808093,-40.40015246190644,0.244457905904521,0.06568436196578616,157794.2034645285,16.799817393289203,84
20,10,15,90.0,70.0,8.510841575322425,-34.801368759674276,0.5119875483043416,0.2445547942121252,414745.05929026107,21.684546907098838,84
20,10,15,90.0,80.0,9.250098355088987,-40.2563761572694,0.518933442497874,0.22977970791388846,466803.7102025253,24.629080118694365,83
20,10,15,90.0,100.0,9.117003463320339,-40.25637615726947,0.501837778461251,0.22647352627327824,456998.1608717561,25.701894544624516,83
