date,portfolio,strat_only,gld_only,tecl_bh
2023-07-13,4017545.6205652393,12675720.926852336,207111.9708693663,17192977.250247348
2023-07-14,3998082.4071512413,12603258.788439933,206451.97997268906,17094691.724365383
2023-07-17,4100642.308595493,13092287.067735713,206599.9089667719,17757995.384108216
2023-07-18,4208158.213043356,13533744.597325666,208966.77287209732,18356775.469831925
2023-07-19,4186288.0748631884,13427348.495403128,209000.91033227032,18212462.908011943
2023-07-20,4009463.083468454,12610065.027539387,207942.64906690846,17103923.508077882
2023-07-21,3998149.2626986485,12576106.756032469,207305.41647701318,17057863.50148375
2023-07-24,4008673.6317455685,12655350.825547542,206417.84251251613,17165347.840422094
2023-07-25,4102873.559045602,13071892.658434136,207567.13700500588,17730333.003626846
2023-07-26,4000556.6495778766,12546669.77192733,208579.88165680377,17017936.036927205
2023-07-27,3954193.3007477634,12428946.143503558,205302.6854801993,16858259.14935714
2023-07-28,4068598.3637598534,12927016.997602899,206941.28356850153,17533827.893175147
2023-07-31,4089254.955706411,13008521.710818863,207498.8620846599,17644378.503132284
2023-08-01,4088511.7297168234,13074177.610131811,205348.20209376322,17733432.245301757
2023-08-02,3878831.925708782,12096145.359537035,204369.59490213828,16406857.89647221
2023-08-03,3848284.854485381,11951269.698705796,204301.31998179236,16210352.78602051
2023-08-04,3747898.1970955487,11444131.961806113,205040.96495220656,15522485.98747122
2023-08-07,3764059.933003186,11536964.20152331,204574.41966317606,15648400.92317844
2023-08-08,3698491.9437969862,11263037.385767063,203277.19617660347,15276854.599406596
2023-08-09,3599859.8088311865,10819294.904479437,202309.96813836956,14674975.272007978
2023-08-10,3600297.394471093,10828361.787279783,202093.7642239408,14687273.32673927
2023-08-11,3548103.3888084134,10577065.716529222,202093.7642239408,14346422.683811475
2023-08-14,3647908.272492663,11077372.906332668,201479.28994082744,15025024.727992155
2023-08-15,3573801.2412024513,10737790.191263475,200944.46973145104,14564424.66205084
2023-08-16,3503501.756425059,10436687.03510298,199783.7960855703,14156017.14474124
2023-08-17,3437030.447974596,10126541.304138925,199476.55894401364,13735344.543356473
2023-08-18,3442898.15726113,10153693.33654639,199510.6964041866,13772172.766238108
2023-08-21,3568336.2103718594,10740050.834964363,200056.895766954,14567490.93306963
2023-08-22,3561141.8735710103,10694789.344952993,200386.89121529262,14506099.571381532
2023-08-23,3694194.2334667062,11269819.316869732,202423.7596722794,15286053.41246297
2023-08-24,3528371.5874986993,10472905.950310787,202378.24305871545,14205143.422354164
2023-08-25,3594805.057254523,10801185.446875531,202116.52253072275,14650412.13320151
2023-08-28,3649940.287301926,11047960.230224311,202696.8593536631,14985130.234091718
2023-08-29,3798601.6262524445,11699973.627955232,204676.83204369494,15869502.143092709
2023-08-30,3857980.7400988424,11969379.156309696,205188.89394628938,16234915.924826965
2023-08-31,3888141.500168359,12125582.34364217,204847.51934455975,16446785.361028748
2023-09-01,3910455.1143196304,12229717.80186382,204949.93172507864,16588031.651829937
2023-09-05,3927013.638352013,12363290.244190605,203277.19617660344,16769205.407187667
2023-09-06,3839505.3171323044,11971639.800010588,202355.48475193346,16237982.19584576
2023-09-07,3729509.797377467,11435089.387002546,202571.68866636223,15510220.903396035
2023-09-08,3745011.585482781,11507527.217418166,202639.96358670812,15608473.458621884
2023-09-11,3782318.3666876443,11675057.931251872,203015.4756486107,15835707.220573748
2023-09-12,3640834.9972359175,11027565.82092273,201968.59353663985,14957467.853610342
2023-09-13,3658405.335153604,11127179.9917426,201502.04824760935,15092581.602373943
2023-09-14,3706583.709510902,11355845.317487478,201604.4606281282,15402736.564457692
2023-09-15,3579123.794434156,10699310.632354775,202935.8215748738,14512232.113419112
2023-09-18,3615794.5959367407,10837404.362083344,204130.6326809275,14699538.410814429
2023-09-19,3612623.029126201,10828361.787279783,203937.18707328071,14687273.326739255
2023-09-20,3504988.2084042355,10305375.236477083,204085.11606736353,13977909.660402292
2023-09-21,3462462.370414074,10148249.505641289,202605.82612653516,13326937.026046867
2023-09-22,3471297.470197722,10169907.274671886,203254.4378698214,13400626.442466255
2023-09-25,3471105.262523334,10202683.201555587,202207.55575785052,13544939.004286235
2023-09-26,3422144.10835421,10018969.477844836,200591.7159763303,12798780.085723752
2023-09-27,3408770.833631418,10034439.312866691,198111.060537095,12854038.905374264
2023-09-28,3416926.4232810237,10105575.399763932,197121.0741920791,13115067.589845086
2023-09-29,3410577.591135801,10140212.737690913,195095.58488848328,13231750.741839813
2023-10-02,3419494.1172551746,10249080.129519507,193047.33727810552,13670853.939993458
2023-10-03,3378342.7512632916,10075264.584802415,192489.75876194713,12958456.973293815
2023-10-04,3405433.4031064035,10200834.367613953,192467.00045516514,13434421.364985213
2023-10-05,3406197.655467021,10214442.791592529,192114.24670004455,13486613.91361693
2023-10-06,3453785.6125756083,10405577.005273113,193104.23304506045,14232805.802835528
2023-10-09,3487467.286939829,10459394.423206862,196654.5289030486,14447741.510056103
2023-10-10,3488909.957582568,10475480.536209261,196324.53345470995,14512232.113419108
2023-10-11,3518858.153488747,10572588.338000916,197758.3067819744,14893010.220903449
2023-10-12,3517265.7569387723,10582486.516994573,197155.21165225204,14917573.359709911
2023-10-13,3458299.041274925,10129389.094500998,203493.40009103218,14278865.80942966
2023-10-16,3515935.886916655,10423462.700376064,202503.41374601625,14693405.868776845
2023-10-17,3486140.8615518245,10275338.295221623,202878.92580791883,14484602.703593856
2023-10-18,3431117.7333052,9937690.432785258,205814.7473827937,14008638.31190246
2023-10-19,3411820.581707328,9776491.411732929,208340.91943559295,13781404.549950596
2023-10-20,3304329.8348986767,9264569.912346344,208909.87710514234,13059775.799538463
2023-10-23,3306570.263873941,9295069.553009756,208204.36959490113,13102769.535113798
2023-10-24,3348001.983520055,9486768.214725498,208181.61128811914,13372997.032641001
2023-10-25,3281625.101977623,9155645.965590583,209057.80609922524,12906231.454005985
2023-10-26,3166515.3579956023,8615423.41926939,209387.80154756393,12144708.209693419
2023-10-27,3211371.686136244,8752648.412959758,211822.94037323532,12338147.049126325
2023-10-30,3264908.333235787,9033670.792231921,210628.12926718162,12734289.482360749
2023-10-31,3299827.666874947,9227544.658381479,209478.83477469187,13007583.250906743
2023-11-01,3411004.653090401,9759066.386967404,208818.84387801457,13756841.411144134
2023-11-02,3523013.8404784803,10255714.676727297,209512.9722348648,14456940.323112488
2023-11-03,3591519.9336881754,10549811.671897348,210275.375512061,14871513.353115784
